Group,TypeCounts,Objectives,StateCounts
Non-Dominated,"{'TWDH': 4, 'Minimal': 4}","[-8.0, -24.0, -16.0, 511.0, 205.31711812048198]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 3}"
Non-Dominated,"{'TWDH': 4, 'Minimal': 3}","[-8.0, -23.0, -15.0, 457.0, 330.8370861228648]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'Minimal': 4, 'QWDH': 1}","[-4.0, -9.0, -7.0, 202.0, 33.60555127546399]","{<RobotState.ACTIVE: (0, 'green')>: 2, <RobotState.DEFECTIVE: (2, 'purple')>: 3}"
Non-Dominated,"{'Dragon': 4, 'QWSH': 1, 'TWDH': 1, 'QWDH': 2}","[-23.0, -25.0, -24.0, 689.0, 134.29462480115734]","{<RobotState.ACTIVE: (0, 'green')>: 2, <RobotState.DEFECTIVE: (2, 'purple')>: 6}"
Non-Dominated,"{'Dragon': 8, 'TWDH': 1, 'QWDH': 1}","[-22.0, -26.0, -30.0, 654.0, 111.48103061353581]","{<RobotState.DEFECTIVE: (2, 'purple')>: 6, <RobotState.ACTIVE: (0, 'green')>: 4}"
Non-Dominated,"{'Dragon': 2, 'QWSH': 3, 'TWSH': 1, 'QWDH': 1}","[-26.0, -17.0, -21.0, 647.0, 177.85769209990752]","{<RobotState.DEFECTIVE: (2, 'purple')>: 6, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Dragon': 8, 'TWDH': 1, 'Minimal': 1}","[-18.0, -22.0, -28.0, 538.0, 64.0930269523282]","{<RobotState.DEFECTIVE: (2, 'purple')>: 8, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'TWDH': 4, 'Dragon': 2, 'QWDH': 1, 'TWSH': 1}","[-19.0, -31.0, -24.0, 751.0, 249.80284863098055]","{<RobotState.DEFECTIVE: (2, 'purple')>: 6, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'QWDH': 5, 'TWDH': 1}","[-22.0, -30.0, -18.0, 731.0, 109.34507664120184]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'TWDH': 3, 'Dragon': 1, 'QWDH': 3}","[-20.0, -32.0, -21.0, 758.0, 142.39109580679576]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'QWSH': 4, 'TWSH': 1, 'Minimal': 1}","[-23.0, -11.0, -16.0, 609.0, 81.85033955623032]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'TWDH': 5, 'Dragon': 2, 'QWDH': 1}","[-18.0, -34.0, -24.0, 765.0, 97.18197313792786]","{<RobotState.ACTIVE: (0, 'green')>: 4, <RobotState.DEFECTIVE: (2, 'purple')>: 4}"
Non-Dominated,"{'QWSH': 4, 'TWDH': 1, 'QWDH': 1}","[-26.0, -18.0, -18.0, 676.0, 161.73025420853205]","{<RobotState.DEFECTIVE: (2, 'purple')>: 4, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'TWDH': 4, 'Minimal': 2, 'QWDH': 1}","[-12.0, -27.0, -17.0, 577.0, 314.537937511687]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'Dragon': 5, 'TWDH': 4, 'Minimal': 1}","[-18.0, -31.0, -28.0, 713.0, 171.57642186246386]","{<RobotState.DEFECTIVE: (2, 'purple')>: 9, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,{'Dragon': 11},"[-22.0, -22.0, -33.0, 595.0, 99.89017707042724]","{<RobotState.DEFECTIVE: (2, 'purple')>: 7, <RobotState.ACTIVE: (0, 'green')>: 4}"
Non-Dominated,"{'TWDH': 4, 'Dragon': 1, 'Minimal': 2, 'TWSH': 1}","[-13.0, -26.0, -20.0, 598.0, 79.46968843869995]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 3}"
