Group,TypeCounts,Objectives,StateCounts
Non-Dominated,"{'Minimal': 4, 'QWDH': 1, 'TWSH': 1}","[-7.0, -11.0, -10.0, 189.0, 25.0]","{<RobotState.ACTIVE: (0, 'green')>: 3, <RobotState.DEFECTIVE: (2, 'purple')>: 3}"
Non-Dominated,"{'Dragon': 2, 'QWSH': 4, 'TWSH': 1}","[-27.0, -14.0, -21.0, 443.0, 151.10682455933386]","{<RobotState.ACTIVE: (0, 'green')>: 2, <RobotState.DEFECTIVE: (2, 'purple')>: 5}"
Non-Dominated,"{'Dragon': 1, 'QWSH': 3, 'TWSH': 1, 'QWDH': 1, 'Minimal': 1}","[-24.0, -16.0, -19.0, 442.0, 164.02097051932236]","{<RobotState.ACTIVE: (0, 'green')>: 3, <RobotState.DEFECTIVE: (2, 'purple')>: 4}"
Non-Dominated,"{'Minimal': 1, 'TWDH': 4, 'Dragon': 1, 'TWSH': 1}","[-13.0, -25.0, -19.0, 383.0, 247.47013412177122]","{<RobotState.DEFECTIVE: (2, 'purple')>: 6, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Minimal': 2, 'TWDH': 3, 'Dragon': 1, 'QWSH': 1}","[-13.0, -21.0, -17.0, 324.0, 129.28498034246462]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,{'QWSH': 5},"[-25.0, -10.0, -15.0, 378.0, 191.41649900056868]","{<RobotState.DEFECTIVE: (2, 'purple')>: 4, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Dragon': 1, 'TWDH': 5, 'QWDH': 1, 'Minimal': 1}","[-16.0, -33.0, -22.0, 499.0, 97.14222675930087]","{<RobotState.ACTIVE: (0, 'green')>: 3, <RobotState.DEFECTIVE: (2, 'purple')>: 5}"
Non-Dominated,"{'Minimal': 2, 'TWDH': 5}","[-10.0, -27.0, -17.0, 362.0, 153.01106264869816]","{<RobotState.ACTIVE: (0, 'green')>: 1, <RobotState.DEFECTIVE: (2, 'purple')>: 6}"
Non-Dominated,"{'Dragon': 1, 'TWDH': 5, 'QWDH': 1}","[-16.0, -32.0, -21.0, 479.0, 97.14222675930087]","{<RobotState.ACTIVE: (0, 'green')>: 2, <RobotState.DEFECTIVE: (2, 'purple')>: 5}"
Non-Dominated,"{'QWDH': 3, 'TWDH': 1, 'Dragon': 1, 'TWSH': 1}","[-19.0, -24.0, -18.0, 420.0, 258.21038469671805]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'QWDH': 3, 'TWDH': 1, 'QWSH': 2}","[-24.0, -24.0, -18.0, 488.0, 240.69050782990504]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Dragon': 5, 'Minimal': 2}","[-10.0, -12.0, -17.0, 240.0, 57.071067811865476]","{<RobotState.DEFECTIVE: (2, 'purple')>: 4, <RobotState.ACTIVE: (0, 'green')>: 3}"
Non-Dominated,"{'Dragon': 2, 'Minimal': 2, 'TWDH': 5}","[-14.0, -31.0, -23.0, 464.0, 105.07115894743539]","{<RobotState.ACTIVE: (0, 'green')>: 4, <RobotState.DEFECTIVE: (2, 'purple')>: 5}"
Non-Dominated,"{'Minimal': 2, 'TWDH': 4, 'Dragon': 1}","[-10.0, -24.0, -17.0, 321.0, 219.5946547836994]","{<RobotState.ACTIVE: (0, 'green')>: 2, <RobotState.DEFECTIVE: (2, 'purple')>: 5}"
Non-Dominated,"{'Minimal': 2, 'Dragon': 3}","[-6.0, -8.0, -11.0, 115.0, 18.41640786499874]","{<RobotState.ACTIVE: (0, 'green')>: 3, <RobotState.DEFECTIVE: (2, 'purple')>: 2}"
Non-Dominated,"{'QWSH': 3, 'Minimal': 2, 'Dragon': 1}","[-17.0, -10.0, -14.0, 308.0, 32.071067811865476]","{<RobotState.DEFECTIVE: (2, 'purple')>: 2, <RobotState.ACTIVE: (0, 'green')>: 4}"
Non-Dominated,"{'Minimal': 2, 'QWDH': 1, 'TWDH': 3}","[-10.0, -22.0, -14.0, 343.0, 82.07106781186548]","{<RobotState.ACTIVE: (0, 'green')>: 2, <RobotState.DEFECTIVE: (2, 'purple')>: 4}"
Non-Dominated,"{'Dragon': 8, 'QWSH': 1}","[-21.0, -18.0, -27.0, 364.0, 101.10682455933384]","{<RobotState.DEFECTIVE: (2, 'purple')>: 7, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'Minimal': 4, 'QWDH': 1}","[-4.0, -9.0, -7.0, 172.0, 0.0]","{<RobotState.ACTIVE: (0, 'green')>: 5}"
Non-Dominated,"{'Minimal': 2, 'TWDH': 1, 'QWDH': 2}","[-10.0, -17.0, -11.0, 268.0, 21.70820393249937]","{<RobotState.ACTIVE: (0, 'green')>: 3, <RobotState.DEFECTIVE: (2, 'purple')>: 2}"
Non-Dominated,"{'Minimal': 1, 'QWDH': 4, 'TWDH': 2}","[-20.0, -31.0, -19.0, 517.0, 89.93928574182999]","{<RobotState.ACTIVE: (0, 'green')>: 3, <RobotState.DEFECTIVE: (2, 'purple')>: 4}"
Non-Dominated,"{'Minimal': 2, 'TWDH': 6, 'Dragon': 1}","[-14.0, -34.0, -23.0, 504.0, 105.07115894743539]","{<RobotState.DEFECTIVE: (2, 'purple')>: 6, <RobotState.ACTIVE: (0, 'green')>: 3}"
Non-Dominated,"{'Dragon': 2, 'TWDH': 5, 'QWDH': 1}","[-18.0, -34.0, -24.0, 522.0, 112.14222675930087]","{<RobotState.ACTIVE: (0, 'green')>: 2, <RobotState.DEFECTIVE: (2, 'purple')>: 6}"
Non-Dominated,"{'Minimal': 4, 'QWDH': 1, 'TWDH': 1}","[-6.0, -14.0, -10.0, 209.0, 15.0]","{<RobotState.ACTIVE: (0, 'green')>: 3, <RobotState.DEFECTIVE: (2, 'purple')>: 3}"
Non-Dominated,"{'Dragon': 8, 'Minimal': 2}","[-16.0, -18.0, -26.0, 319.0, 76.83281572999749]","{<RobotState.DEFECTIVE: (2, 'purple')>: 8, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'Dragon': 4, 'TWDH': 5}","[-18.0, -33.0, -27.0, 489.0, 99.08142136556094]","{<RobotState.DEFECTIVE: (2, 'purple')>: 6, <RobotState.ACTIVE: (0, 'green')>: 3}"
